Date,wholesaleTrade,wholesale 12M,wholesale 1M
2019-01,5878.9,,
2019-02,5884.7,,5.800000000000182
2019-03,5880.3,,-4.399999999999636
2019-04,5893.7,,13.399999999999636
2019-05,5897.7,,4.0
2019-06,5898.9,,1.199999999999818
2019-07,5906.2,,7.300000000000182
2019-08,5906.8,,0.6000000000003638
2019-09,5913.2,,6.399999999999636
2019-10,5923.3,,10.100000000000364
2019-11,5926.3,,3.0
2019-12,5933.2,,6.899999999999636
2020-01,5937.5,58.600000000000364,4.300000000000182
2020-02,5934.2,49.5,-3.300000000000182
2020-03,5922.2,41.899999999999636,-12.0
2020-04,5537.0,-356.6999999999998,-385.1999999999998
2020-05,5560.4,-337.3000000000002,23.399999999999636
2020-06,5612.3,-286.59999999999945,51.900000000000546
2020-07,5592.7,-313.5,-19.600000000000364
2020-08,5606.2,-300.60000000000036,13.5
